"名前","住所","緯度","経度"
"デイサービスセンターさつきの城","糸満市大度255番地の62",,
"デイサービスいちまん","糸満市字糸満1413番地2",,
"デイサービスセンターありがとう","糸満市字糸満603-1　浜元ビル103",,
"デイサービスいさら","糸満市字伊原574番地３",,
"デイサービス糸満てぃんさぐの家","糸満市字照屋1258番地1",,
"デイサービスセンターみなみ","糸満市字糸満1796番地2",,
"デイサービス めぇざと","糸満市字真栄里2045番地2",,
"かねぐすくデイサービスセンター","糸満市兼城871番地１",,
"デイサービスとみしろ","豊見城市字名嘉地112番地の1",,
"桜山荘通所介護事業所","豊見城市高嶺111番地",,
"デイサービスセンター　とよみの杜","豊見城市字渡嘉敷150番地",,
"良長園指定通所介護事業所","豊見城市金良88番地",,
"通所介護事業所　ゆいホーム空","豊見城市平良116-1番地　ハイム大城101号",,
"ハートフルケア　デイサービス","豊見城市長堂146番地",,
"ﾃﾞｲｻｰﾋﾞｽｾﾝﾀｰ　養生の里","豊見城市我那覇291番地25　2階",,
"デイサービス　ふたば","豊見城市豊見城600番地１",,
"デイサービスセンターとよさき","豊見城市字翁長869番地　",,
"豊見城偕生園総合ケアセンター","豊見城市字宜保148番地仲元ﾏﾝｼｮﾝ101号室",,
"デイサービスセンター　海凪","豊見城市字豊崎1番地の1184",,
"デイサービスかがやき","豊見城市字高嶺323番地",,
"デイサービスセンター 太陽と海","豊見城市字我那覇200-4番地",,
"デイサービスセンター 華々","豊見城市字高嶺554番1",,
"デイサービス ねさぶ","豊見城市字根差部588番地3",,
"通所介護 デイサービス ゆうらく","豊見城市豊見城1007番地の24",,
"デイサービス　笑い福い","豊見城市高嶺326番地１",,
"デイサービスうえた","豊見城市字上田１番地１７",,
"デイサービスセンターうらら","豊見城市真玉橋36番地",,
"デイサービスゆず","豊見城市字名嘉地283番地",,
"指定通所介護ファミリーサポート","豊見城市饒波1118番地",,
"通所介護事業所　みんなの倶楽部","豊見城市豊見城64",,
"デイサービスセンターよね","豊見城市字与根323番地1階",,
"デイサービス　クルチ","豊見城市翁長87番地",,
"デイサービス華々２号館","豊見城市字高安882番地12",,
"老人デイサービスセンター朝日","南城市玉城喜良原526",,
"小谷園デイサービスセンター","南城市佐敷小谷238番地の１",,
"東雲の丘指定通所介護事業所","南城市大里大城1392番地",,
"南城市社協知念デイサービスセンターゆいゆい","南城市知念久手堅453",,
"南城市社協大里いきいきデイサービスセンター","南城市大里仲間918",,
"ﾃﾞｲｻｰﾋﾞｽ　一番座","南城市佐敷屋比久65番地",,
"デイサービス　はいさい","南城市佐敷字津波古1354の1",,
"あいけい大里デイサービス","南城市大里字稲嶺1995番地の1-2階",,
"沖縄メディカルデイサービスセンター","南城市佐敷新開1番地344　沖縄ﾒﾃﾞｨｶﾙ福祉総合ｾﾝﾀｰ1階",,
"デイサービス陽だまりの丘","南城市玉城當山8-1",,
"えがおデイサービス","南城市大里稲嶺1317番１",,
"デイサービスセンターオリーブ","南城市佐敷津波古1755番地",,
"しらゆりの園デイサービスおおざと","南城市大里字古堅820-1",,
"デイサービスセンター　かな杜","南城市佐敷字佐敷1204－1",,
"デイサービスなんじょう苑","南城市大里大城2005-1",,
"しらゆりの園デイサービスちねん","南城市知念字久手堅275-3",,
"デイサービスにふぇーでーびる","南城市佐敷字新里518番地",,
"通所介護　うりずん","島尻郡与那原町板良敷1281番地の１",,
"与那原日の出園デイサービスセンター","島尻郡与那原町与那原3782番地の１",,
"通所介護サービス　ふくよか","島尻郡与那原町字字与那原431番地",,
"デイサービスセンター東浜","島尻郡与那原町東浜22番地5",,
"デイサービスセンターほがらか","島尻郡与那原町与那原1122番地ほがらか苑　与原１階",,
"与那原在宅ケアセンター　デイサービスがじゅまるの花","島尻郡与那原町与那原1792番地１",,
"デイサービスほがらか　おおみたけ","島尻郡与那原町字与那原2916番地－１",,
"しらゆりの園デイサービスうえよなばる","島尻郡与那原町上与那原464番地",,
"沖縄第一病院通所介護センター","島尻郡南風原町字兼城642番地の１",,
"嬉の里デイサービスセンター","島尻郡南風原町字新川538番地",,
"デイサービスセンター　はくあい","島尻郡南風原町字新川452番地－１",,
"デイサービス　せせらぎ","島尻郡南風原町新川164－1",,
"通所介護事業所　寿デイサービス","島尻郡南風原町宮平490番地の1",,
"ﾃﾞｲｻｰﾋﾞｽ　「とき」","島尻郡南風原町宮平426番地19",,
"はえばる日の出園デイサービスセンター","島尻郡南風原町字新川501番地",,
"デイサービスはっぴー","島尻郡南風原町字兼城270-1",,
"デイサービス　フェアネス城","島尻郡南風原町与那覇531番地",,
"デイサービスセンター　ベストかねぐすく","島尻郡南風原町兼城265-10",,
"デイサービスフェアネス津嘉山","島尻郡南風原町津嘉山1311番地2　１階",,
"デイサービスはっぴー喜屋武","島尻郡南風原町喜屋武182－1",,
"あいけい兼城デイサービス","島尻郡南風原町字兼城214番地の2",,
"デイサービス　カインド","島尻郡南風原町津嘉山1315番地１　カノンビル",,
"医療法人助和の会　東風平第一医院","島尻郡八重瀬町字友寄42番地",,
"南部徳洲会病院　通所介護事業所","島尻郡八重瀬町字外間80番地　１階(1単位目）　6階(2単位目）",,
"通所介護事業所　東風の里","島尻郡八重瀬町友寄891番地の１",,
"ときわ苑デイサービスセンター","島尻郡八重瀬町字当銘378番の１",,
"転生園指定通所介護事業所","島尻郡八重瀬町安里670番地",,
"デイサービスセンター愛の郷","島尻郡八重瀬町仲座1074番地２",,
"あしみじ　デイサービスセンター","島尻郡八重瀬町字具志1099-1番地",,
"デイサービス　やえせ","島尻郡八重瀬町字屋宜原167番１　ちぶみ　やえせ１階",,
"指定通所介護事業所えーじ","島尻郡八重瀬町字伊覇60番地７丸栄マンション１階",,
"デイサービス ぐしちゃん","島尻郡八重瀬町字具志1241番地1",,
"デイサービスセンター花庭","島尻郡八重瀬町仲座420番地１",,
"デイサービス　新緑の里","島尻郡八重瀬町東風平192番地8",,
"デイサービス でいご","糸満市字糸満1505番地3",,
"東西 デイサービスセンター","糸満市米須249番地",,
"デイサービス日々草","糸満市武富595番地の272",,
"デイサービスセンター珊瑚","糸満市潮崎町4丁目8-13",,
"デイフィットあいのわ糸満","糸満市潮崎町4-28-20　１階",,
"デイサービスわっしょい","糸満市北波平320番地",,
"デイサービス里のガーデン","糸満市大里623番地７",,
"デイサービス　ちむぐくる","豊見城市真玉橋190-3　友アパート101号",,
"いちゃりばちょうでぃー豊見城","豊見城市平良151番地の2",,
"桜山荘ﾃﾞｲｻｰﾋﾞｽｾﾝﾀｰ未来館","豊見城市平良188番地23",,
"リハビリデイサービスぴたさぽ豊見城","豊見城市宜保310番地１　コーポＴＯＫＩ　１階101号",,
"デイサービス　なかゆくい処","豊見城市高嶺173-1　１Ｆ",,
"しらゆりの園デイサービスつはこ","南城市佐敷津波古937-1",,
"かふぇてりあ　愛日和　デイサービス","南城市玉城愛地361番地",,
"デイサービス　愛里寿","南城市玉城喜良原113番地1",,
"デイサービス　まんぐろーぶ","南城市知念字知念614番地",,
"デイサービスすまいる南城","南城市字つきしろ1739番地43",,
"リハビリ特化型デイサービス　カラダラボ南城船越","南城市玉城船越773-１",,
"デイサービスすまいるLife","南城市佐敷字新開1番地114",,
"ハピネス百名","南城市玉城字百名7番地",,
"ファミリー通所介護事業所","島尻郡与那原町与那原3585番地",,
"ディサービスセンター和ごころ","島尻郡与那原町字与那原1771番地",,
"デイサービス フェアネス","島尻郡南風原町字本部490番地6",,
"デイサービス くばの葉","島尻郡南風原町字新川522番地　１Ｆ",,
"デイサービスつどい","島尻郡南風原町字新川12番地6、１Ｆ",,
"デイサービスともに","島尻郡南風原町津嘉山1279番地１",,
"デイサービスくばごころ","島尻郡南風原町喜屋武422-1　１階",,
"デイサービスフォスタ津嘉山","島尻郡南風原町津嘉山1535番地",,
"デイサービスきらり","島尻郡八重瀬町屋宜原229-3",,
"ディサービス　寿々　　","島尻郡八重瀬町屋宜原110番地の3　アイニテイ　2-Ｄ号室",,
"デイサービス　愛ランド","島尻郡八重瀬町字宜次712番地",,
"デイサービスセンター寿（共用型通所介護）","糸満市真栄里323番地",,
"デイサービスステーション　ひめゆり","糸満市伊原107-1",,
"こもれび　デイサービス","豊見城市字高嶺111番地",,
"デイホーム　光風の家","豊見城市高嶺299番地１",,
"デイサービスセンターすみれ","豊見城市渡嘉敷150番地　おもととよみの杜2階",,
"デイサービスしんかい","南城市佐敷新開1-114",,
"東雲の丘指定認知症対応型共同生活介護事業所","南城市大里大城1392番地",,
"指定通所介護事業所デイサービス青の空","南城市玉城百名7番地",,
"デイサービス　あまね","南城市玉城屋嘉部455番１",,
"デイサービス事業所　とことん","島尻郡与那原町字上与那原431番5",,
"グループホームときわ苑認知症対応型通所介護","島尻郡八重瀬町当銘370-1",,
"デイホーム　くしばる","島尻郡八重瀬町後原268番地3",,
"デイケア　勝連","糸満市真栄平1026番地",,
"南部病院　通所リハビリテーション","豊見城市糸満市真栄里870番地",,
"糸満協同診療所　通所リハビリテーション","糸満市字潮崎町2丁目1番地10",,
"通所リハビリテーション事業所　白寿園","糸満市字武富175-1",,
"とよみ生協病院　通所リハビリテーション","豊見城市真玉橋593-1",,
"松岡通所リハビリテーション","豊見城市高嶺395-56",,
"桜山荘通所リハビリテーションセンター","豊見城市字高嶺111",,
"通所リハビリテーション　養生の里","豊見城市我那覇291-25",,
"通所リハビリテーション　友愛園","豊見城市字上田25",,
"平成苑通所リハビリテーション","豊見城市名嘉地217-2",,
"通所リハビリテーション　はまゆう","豊見城市字渡嘉敷150　４階",,
